COD_ORIGEM,COD_DESTINO,DISTANCIA_KM,CUSTO_DESLOCAMENTO
2803500,2801405,86.17,215.43
2803500,2801702,84.53,211.32
2803500,2802106,64.24,160.6
2803500,2802304,60.36,150.9
2803500,2802908,39.26,98.15
2803500,2803005,69.73,174.33
2803500,2803203,44.99,112.48
2803500,2803609,80.53,201.32
2803500,2804508,103.54,258.85
2803500,2804607,88.44,221.1
2803500,2804805,81.86,204.65
2803500,2805406,156.39,390.97
2803500,2805604,158.32,395.8
2803500,2805703,161.21,403.03
2803500,2806701,67.52,168.8
2803500,2807105,31.57,78.92
2803500,2807402,61.41,153.52
2803500,2807600,68.64,171.6
2803609,2800308,23.65,59.12
2803609,2800605,27.0,67.5
2803609,2800670,86.04,215.1
2803609,2801009,54.55,136.38
2803609,2801207,181.1,452.75
2803609,2801306,53.58,133.95
2803609,2801405,100.87,252.18
2803609,2801702,121.26,303.15
2803609,2802106,72.69,181.72
2803609,2802304,67.41,168.52
2803609,2802908,44.25,110.62
2803609,2803005,125.27,313.18
2803609,2803203,39.59,98.98
2803609,2803500,81.92,204.8
2803609,2804508,102.07,255.17
2803609,2804607,54.33,135.82
2803609,2804805,15.17,37.92
2803609,2805406,154.92,387.3
2803609,2805604,156.85,392.12
2803609,2805703,82.32,205.8
2803609,2806701,28.86,72.15
2803609,2807105,113.87,284.68
2803609,2807402,140.64,351.6
2803609,2807600,105.37,263.43
2803708,2800308,74.97,187.43
2803708,2800605,78.32,195.8
2803708,2800670,73.56,183.9
2803708,2801009,12.27,30.67
2803708,2801207,148.73,371.82
2803708,2801306,79.15,197.88
2803708,2801405,46.62,116.55
2803708,2801702,120.55,301.38
2803708,2802106,102.19,255.47
2803708,2802304,19.66,49.15
2803708,2802908,22.24,55.6
2803708,2803005,105.76,264.4
2803708,2803203,70.9,177.25
2803708,2803500,38.62,96.55
2803708,2803609,63.5,158.75
2803708,2804508,69.7,174.25
2803708,2804607,59.78,149.45
2803708,2804805,73.01,182.53
2803708,2805406,122.55,306.38
2803708,2805604,124.48,311.2
2803708,2805703,142.26,355.65
2803708,2806701,80.18,200.45
2803708,2807105,67.6,169.0
2803708,2807402,97.44,243.6
2803708,2807600,104.66,261.65
