X,Y,MEAN_X,MEAN_Y,ID_divisao
-47.0360928313288,-21.4723467874929,-47.036092831328823,-21.472346787492899,353050805_3530508019
-47.0068540260467,-21.4774288372091,-47.006854026046689,-21.477428837209143,353050805_3530508014
-47.0045368254721,-21.4811834382619,-47.004536825472073,-21.481183438261880,353050805_3530508013
-47.010531087113,-21.4957010134758,-47.010531087113037,-21.495701013475848,353050805_3530508016
-47.0123667987557,-21.4847243843242,-47.012366798755679,-21.484724384324220,353050805_3530508015
-49.1485916117589,-24.3169094277388,-49.148591611758938,-24.316909427738771,350715905_.
-44.7733463085845,-22.5330131042705,-44.773346308584507,-22.533013104270541,354190105_.
-47.1674176285928,-24.2911541613678,-47.167417628592837,-24.291154161367810,352330505_.
-49.820559278705,-22.4186429250696,-49.820559278704984,-22.418642925069609,352780105_.
-45.5195565857456,-23.265979347382,-45.519556585745555,-23.265979347382007,354230505_.
-48.4770241460723,-23.59231303653,-48.477024146072289,-23.592313036530005,350945205_.
-51.1379930050419,-21.2972701059397,-51.137993005041928,-21.297270105939699,352650610_.
-50.8358047362932,-21.6780976127388,-50.835804736293248,-21.678097612738839,353460910_.
-47.1992263633403,-22.8018629169533,-47.199226363340344,-22.801862916953294,355240315_3552403005
-50.9285874911975,-20.3789162697883,-50.928587491197533,-20.378916269788295,353284305_.
-49.0917855997431,-23.4135613800594,-49.091785599743147,-23.413561380059431,352180405_.
-46.4620809159488,-23.5020121292541,-46.462080915948832,-23.502012129254123,355030887_.
-49.8689187439634,-20.8172501081595,-49.868918743963391,-20.817250108159524,353140720_.
-46.3224776352656,-23.3941781950566,-46.322477635265557,-23.394178195056629,350390105_.
-46.6475916558059,-23.5592444741031,-46.647591655805854,-23.559244474103128,355030807_.
-50.5771706957451,-21.7266885810453,-50.577170695745075,-21.726688581045327,351920410_.
-45.1991073526449,-23.0863766860144,-45.199107352644894,-23.086376686014358,352630805_.
-50.9261510907735,-20.0887408435843,-50.926151090773509,-20.088740843584297,354610805_.
-47.2186322923139,-22.8179795626495,-47.218632292313870,-22.817979562649544,355240315_3552403002
-47.187995179117,-22.8444998595063,-47.187995179117010,-22.844499859506268,355240315_3552403004
-47.1673864012591,-22.8227290149753,-47.167386401259115,-22.822729014975327,355240315_3552403003
-46.6783588945617,-24.1110124045763,-46.678358894561669,-24.111012404576282,353110005_.
-46.6394022291384,-23.4749158672579,-46.639402229138369,-23.474915867257920,355030851_.
-50.5307597846378,-19.9421096833182,-50.530759784637809,-19.942109683318172,354040805_.
-46.9008583848297,-21.8381636005111,-46.900858384829711,-21.838163600511052,355640405_.
-49.6257604037767,-22.899366854083,-49.625760403776674,-22.899366854082988,354640505_.
-46.6517228681601,-21.7226213230541,-46.651722868160135,-21.722621323054138,351390010_.
-51.2998312108644,-21.9114454260603,-51.299831210864376,-21.911445426060300,354140615_.
-47.2817127893404,-22.7779175375837,-47.281712789340432,-22.777917537583711,353340305_3533403016
-49.9469586709864,-21.8003877585405,-49.946958670986440,-21.800387758540463,351700005_.
-47.2820302427978,-22.7875616199323,-47.282030242797809,-22.787561619932340,353340305_3533403015
-45.3571016368386,-23.8139925654555,-45.357101636838593,-23.813992565455457,352040005_3520400025
-46.2259186051746,-23.3147605073109,-46.225918605174570,-23.314760507310933,354680105_.
-45.3558180582584,-23.7931797603127,-45.355818058258365,-23.793179760312658,352040005_3520400024
-47.2207961984353,-22.7789995260328,-47.220796198435309,-22.778999526032759,353340305_3533403017
-47.2887113549906,-22.8002923030596,-47.288711354990610,-22.800292303059649,353340305_3533403012
-45.3528422120379,-23.8164327205854,-45.352842212037856,-23.816432720585382,352040005_3520400026
-49.3823043816544,-23.1713111614423,-49.382304381654421,-23.171311161442301,353880825_.
-47.299825033517,-22.792002917469,-47.299825033516981,-22.792002917469009,353340305_3533403011
-45.36426735692,-23.8137667532381,-45.364267356920045,-23.813766753238056,352040005_3520400021
-47.2908607513568,-22.7713775248346,-47.290860751356789,-22.771377524834556,353340305_3533403014
-45.37203219562,-23.8251104168618,-45.372032195619965,-23.825110416861801,352040005_3520400020
-47.2956740661876,-22.772775259228,-47.295674066187622,-22.772775259227966,353340305_3533403013
-45.3584769853735,-23.7982404647668,-45.358476985373507,-23.798240464766845,352040005_3520400023
-45.3597224907831,-23.8018824535643,-45.359722490783128,-23.801882453564286,352040005_3520400022
-50.2866384505747,-21.3556299206839,-50.286638450574664,-21.355629920683928,351250605_.
-49.310793262019,-20.4377100719461,-49.310793262019025,-20.437710071946075,353300715_.
-50.5369457701373,-22.0768258135525,-50.536945770137272,-22.076825813552464,355500025_.
-50.5550974281343,-20.6820534599076,-50.555097428134303,-20.682053459907650,350420605_.
-51.2360066621913,-22.6188244469964,-51.236006662191279,-22.618824446996442,353215705_.
-47.3065189382731,-22.7744658313116,-47.306518938273079,-22.774465831311566,353340305_3533403009
-48.6375187657421,-21.2361119766805,-48.637518765742136,-21.236111976680490,353130808_.
-47.3019833790934,-22.8021623163629,-47.301983379093350,-22.802162316362857,353340305_3533403008
-46.742824925309,-23.8938844414354,-46.742824925309051,-23.893884441435379,355030852_.
-45.3725707444168,-23.8315847830234,-45.372570744416834,-23.831584783023406,352040005_3520400018
-45.3527691880267,-23.8279322800451,-45.352769188026706,-23.827932280045076,352040005_3520400017
-47.309670560355,-22.7963842231918,-47.309670560354952,-22.796384223191840,353340305_3533403005
-45.379321497618,-23.8329299250537,-45.379321497617951,-23.832929925053666,352040005_3520400019
-47.3067190161899,-22.7877763665335,-47.306719016189938,-22.787776366533500,353340305_3533403004
-45.24800141189,-23.7735964834304,-45.248001411890030,-23.773596483430406,352040005_3520400014
-47.3057805828535,-22.8087303908998,-47.305780582853544,-22.808730390899839,353340305_3533403007
-45.2644316924831,-23.7449148340523,-45.264431692483058,-23.744914834052345,352040005_3520400013
-47.3111375772709,-22.8017062823816,-47.311137577270870,-22.801706282381620,353340305_3533403006
-45.3475241344191,-23.8272520301989,-45.347524134419061,-23.827252030198913,352040005_3520400016
-47.3363185508509,-22.8139649061537,-47.336318550850947,-22.813964906153736,353340305_3533403001
-45.3587464876466,-23.8250659442745,-45.358746487646613,-23.825065944274527,352040005_3520400015
-45.3171527720416,-23.7276941174291,-45.317152772041631,-23.727694117429103,352040005_3520400010
-46.9041057751309,-23.5420415628138,-46.904105775130859,-23.542041562813822,352500305_.
-47.3118962771072,-22.7823439513766,-47.311896277107202,-22.782343951376600,353340305_3533403003
